Instructor,Output
Alex & Tunde  ,7.166666667
Alex Toussaint,5.894444444
Ally & Emma ,7.7
Ally Love,5.867521368
Christine D'Ercole,5.177777778
Cody & Emma ,8.1
Cody Rigsby,6.845299145
Cycling Instructors 2019,5.911111111
Denis Morton,6.532936508
Emma Lovewell,5.756481481
Hannah Corbin,6.683333333
Hannah Frankson,5.266666667
Jenn Sherman,6.237777778
Jess & Robin ,5.7
Jess King,6.5
Kendall Toole,6.741358025
Leanne Hainsby,6.211111111
Matt Wilpers,6.027614379
Multiple Instructors ,7.022222222
Olivia Amato,6.801111111
Robin Arzon,6.238082437
Tunde Oyeneyin,7.146666667
Grand Total,6.30952381